messageRegex	FreakyVilleMessageType
^\[\/ce find <spiller>\] Se hvem spilleren har add hos$	LIVING_AREA_HELP
^\| FV-PRISON \| VAGT-ALARM: ([a-zA-Z0-9_]{2,16}) har haft fingrene i Vagt-Vaulten i C!$	C_GUARD_VAULT_START
^VAGT-ALARM: ([a-zA-Z0-9_]{2,16}) har stjålet inventar fra Vagt-Huset B!$	B_GUARD_VAULT_START
^VAGT-ALARM: ([a-zA-Z0-9_]{2,16}) prøver at bryde pengeskabet op i banken i B+ Området!$	B_PLUS_GUARD_VAULT_START
^VAGT-ALARM: ([a-zA-Z0-9_]{2,16}) forsøger at røve vagternes værdi-boks i A!$	A_GUARD_VAULT_START
^VAGT-ALARM: ([a-zA-Z0-9_]{2,16}) prøver at bryde pengeskabet op i banken i A+ Området!$	A_PLUS_GUARD_VAULT_START
^VAGT-ALARM: Det lykkedes ([a-zA-Z0-9_]{2,16}) at bryde bankens pengeskab op i B+ Området!$	B_PLUS_GUARD_VAULT_FINISH
^VAGT-ALARM: ([a-zA-Z0-9_]{2,16}) gennemførte et røveri i vagternes værdi-boks i A!$	A_GUARD_VAULT_FINISH
^VAGT-ALARM: Det lykkedes ([a-zA-Z0-9_]{2,16}) at bryde bankens pengeskab op i A+ Området!$	A_PLUS_GUARD_VAULT_FINISH
^------------=\{ ((?=[A-Za-z]*\d)(?=\d*[A-Za-z])[A-Za-z\d]+) \}=------------$	LIVING_AREA_LOOKUP
^Røveri: Du kan først røve her igen om( [0-9]+ (?:time|timer)[,]?)?( [0-9]+ (?:minut|minutter)[,]?)?( [0-9]+ (?:sekund|sekunder))?$	C_GUARD_VAULT_UPDATE
^Røveri: Du kan først røve huset igen om( [0-9]+ (?:time|timer)[,]?)?( [0-9]+ (?:minut|minutter)[,]?)?( [0-9]+ (?:sekund|sekunder))?$	B_GUARD_VAULT_UPDATE
^Du kan først åbne pengeskabet igen om( [0-9]+ (?:time|timer)[,]?)?( [0-9]+ (?:minut|minutter)[,]?)?( [0-9]+ (?:sekund|sekunder))?$	B_PLUS_GUARD_VAULT_UPDATE
^Du kan først røve vagten igen om( [0-9]+ (?:time|timer)[,]?)?( [0-9]+ (?:minut|minutter)[,]?)?( [0-9]+ (?:sekund|sekunder))?$	A_GUARD_VAULT_UPDATE
^Du kan først åbne pengeskabet igen om( [0-9]+ (?:time|timer)[,]?)?( [0-9]+ (?:minut|minutter)[,]?)?( [0-9]+ (?:sekund|sekunder))?$	A_PLUS_GUARD_VAULT_UPDATE
^(\[[\*]{0,3}[ÆØÅæøåa-zA-Z]+\])?(\[[0-9]+\])?(\[(?:C|B|A|A\+|B\+)\])(\[[a-zA-Z]+\])?(\|Θ\|)? ([a-zA-Z0-9_]{2,16}): (.+)$	PLAYER_MESSAGE_ALL
^\[(\[[ÆØÅæøåa-zA-Z-\+]+\])* ([a-zA-Z0-9_]{2,16}) -> mig]: (.+)$	PLAYER_MESSAGE_YOU
^----- Online Fanger i ((?:C|B|A)) ----$	PRISON_CHECK
^\[Bande-Område\] ([a-zA-Z0-9_]{2,16}) prøver at overtage Bande Området for hans bande!$	GANG_AREA_TRY_UNSPECIFIED
^\[Bande-Område\] ([a-zA-Z0-9_]{2,16}) prøver at overtage Bande Området for hans bande i B!$	GANG_AREA_TRY_B
^\[B\+Bande-Område\] ([a-zA-Z0-9_]{2,16}) prøver at overtage B\+ Bande Området for hans bande!$	GANG_AREA_TRY_B_PLUS
^\[A\+Bande-Område\] ([a-zA-Z0-9_]{2,16}) prøver at overtage A\+ Bande Området for hans bande!$	GANG_AREA_TRY_A_PLUS
^\[Bande-Område\] Det lykkedes ([a-zA-Z0-9_]{2,16}) at overtage Bande Området!$	GANG_AREA_FINISH_UNSPECIFIED
^\[B\+Bande-Område\] Det lykkedes ([a-zA-Z0-9_]{2,16}) at overtage B\+Bande Området!$	GANG_AREA_FINISH_B_PLUS
^\[A\+Bande-Område\] Det lykkedes ([a-zA-Z0-9_]{2,16}) at overtage A\+Bande Området!$	GANG_AREA_FINISH_A_PLUS
^\+([0-9]+[,]?[.]?[0-9]?) ((?:Mining|Fishing|Respekt)) XP( \*Treasure Drop\*)?(.+)?$	SKILL_EXPERIENCE_GAIN_GENERIC
^Finn Fisker: Mange tak [a-zA-Z0-9_]{2,16}! Her har du ([0-9]+) Fishing XP!$	SKILL_EXPERIENCE_GAIN_FISHING_SCROLL
^Scroll indløst! Her har du ([0-9]+) Respekt XP!$	SKILL_EXPERIENCE_GAIN_RESPECT_SCROLL
